Title,Address,Price($),Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url,rentcast_id,last_seen_date,status
"Standard - , ,  ",", ,  ",6950,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,985,No,No,None,No,,,,0,,"50-E-78th-St,-Apt-9A,-New-York,-NY-10075",2025-11-06T04:17:55.768Z,Active
"Standard - , ,  ",", ,  ",4150,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"328-W-83rd-St,-Apt-2E,-New-York,-NY-10024",2025-11-06T04:17:55.767Z,Active
"Standard - , ,  ",", ,  ",7750,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,800,No,No,None,No,,,,0,,"166-2nd-Ave,-New-York,-NY-10003",2025-11-06T04:17:55.766Z,Active
"Standard - , ,  ",", ,  ",10995,2025-11-06T00:00:00.000Z,Apartment,5,2,Not Specified,Not Specified,No,,,No,580,No,No,None,No,,,,0,,"195-Stanton-St,-New-York,-NY-10002",2025-11-06T04:17:55.765Z,Active
"Standard - , ,  ",", ,  ",4800,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"365-W-52nd-St,-Apt-4J,-New-York,-NY-10019",2025-11-06T04:17:55.764Z,Active
"Standard - , ,  ",", ,  ",7100,2025-11-06T00:00:00.000Z,Apartment,3,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"220-E-24th-St,-New-York,-NY-10010",2025-11-06T04:17:55.763Z,Active
"Standard - , ,  ",", ,  ",4750,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,790,No,No,None,No,,,,0,,"400-E-71st-St,-New-York,-NY-10021",2025-11-06T04:17:55.762Z,Active
"Standard - , ,  ",", ,  ",10400,2025-11-06T00:00:00.000Z,Apartment,3,2,Not Specified,Not Specified,No,,,No,1200,No,No,None,No,,,,0,,"29-7th-Ave-S,-New-York,-NY-10014",2025-11-06T04:17:55.762Z,Active
"Standard - , ,  ",", ,  ",2795,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"138-Haven-Ave,-Unit-11A,-New-York,-NY-10032",2025-11-06T04:17:55.761Z,Active
"Standard - , ,  ",", ,  ",11000,2025-11-06T00:00:00.000Z,Apartment,4,3,Not Specified,Not Specified,No,,,No,2100,No,No,None,No,,,,0,,"323-E-78th-St,-Unit-4BB,-New-York,-NY-10075",2025-11-06T04:17:55.760Z,Active
